prompt_id,method,hidden_winners,hidden_winner_count,n_paired_ballots,visible_winners,visible_winner_count,winner_changed
p078,absolute_allocation,A,1,4,A,1,False
p079,best_pick,A,1,4,"A,C",2,True
p079,borda,A,1,4,A,1,False
p079,absolute_allocation,A,1,4,A,1,False
p080,best_pick,B,1,4,A,1,True
p080,borda,B,1,4,A,1,True
p080,absolute_allocation,B,1,4,A,1,True
p081,best_pick,A,1,4,A,1,False
p081,borda,A,1,4,A,1,False
p081,absolute_allocation,A,1,4,A,1,False
p082,best_pick,A,1,4,A,1,False
p082,borda,A,1,4,A,1,False
p082,absolute_allocation,A,1,4,A,1,False
p083,best_pick,B,1,4,D,1,True
p083,borda,A,1,4,B,1,True
p083,absolute_allocation,A,1,4,D,1,True
p084,best_pick,"A,C,D",3,3,"A,C,D",3,False
p084,borda,A,1,3,"A,D",2,True
p084,absolute_allocation,A,1,3,A,1,False
p085,best_pick,A,1,4,A,1,False
p085,borda,A,1,4,A,1,False
p085,absolute_allocation,A,1,4,A,1,False
p086,best_pick,A,1,4,"A,B",2,True
p086,borda,A,1,4,B,1,True
p086,absolute_allocation,A,1,4,A,1,False
p087,best_pick,A,1,4,A,1,False
p087,borda,A,1,4,A,1,False
p087,absolute_allocation,A,1,4,A,1,False
p088,best_pick,A,1,4,A,1,False
p088,borda,"A,B",2,4,A,1,True
p088,absolute_allocation,B,1,4,A,1,True
p089,best_pick,C,1,4,A,1,True
p089,borda,C,1,4,A,1,True
p089,absolute_allocation,C,1,4,A,1,True
p090,best_pick,A,1,4,A,1,False
p090,borda,B,1,4,A,1,True
p090,absolute_allocation,B,1,4,A,1,True
p091,best_pick,C,1,4,A,1,True
p091,borda,"A,B,C,D",4,4,A,1,True
p091,absolute_allocation,A,1,4,A,1,False
p092,best_pick,A,1,4,A,1,False
p092,borda,A,1,4,A,1,False
p092,absolute_allocation,A,1,4,A,1,False
p093,best_pick,A,1,3,A,1,False
p093,borda,"A,B",2,3,A,1,True
p093,absolute_allocation,A,1,3,A,1,False
p094,best_pick,D,1,4,"B,D",2,True
p094,borda,B,1,4,"A,D",2,True
p094,absolute_allocation,B,1,4,A,1,True
p095,best_pick,A,1,4,A,1,False
p095,borda,A,1,4,A,1,False
p095,absolute_allocation,A,1,4,A,1,False
p096,best_pick,D,1,3,A,1,True
p096,borda,A,1,3,A,1,False
p096,absolute_allocation,A,1,3,A,1,False
p097,best_pick,A,1,4,A,1,False
p097,borda,A,1,4,A,1,False
p097,absolute_allocation,A,1,4,A,1,False
p098,best_pick,A,1,4,A,1,False
p098,borda,A,1,4,A,1,False
p098,absolute_allocation,A,1,4,A,1,False
p099,best_pick,C,1,4,C,1,False
p099,borda,C,1,4,C,1,False
p099,absolute_allocation,A,1,4,A,1,False
p100,best_pick,A,1,4,A,1,False
p100,borda,B,1,4,D,1,True
p100,absolute_allocation,A,1,4,A,1,False
