domain,method,prompt_id,scores_json,selection
reasoning,direct_signed_allocation,p032,"{""A"": 0.0875, ""B"": 0.175, ""C"": -0.125, ""D"": 0.2625}",D
writing,direct_best_pick,p033,"{""A"": 0.5, ""B"": 0.0, ""C"": 0.5, ""D"": 0.0}","TIE:A,C"
writing,direct_borda,p033,"{""A"": 2.0, ""B"": 1.0, ""C"": 2.125, ""D"": 0.875}",C
writing,direct_signed_allocation,p033,"{""A"": 0.25, ""B"": -0.012500000000000004, ""C"": 0.1, ""D"": -0.0375}",A
safety,direct_best_pick,p034,"{""A"": 0.25, ""B"": 0.5, ""C"": 0.0, ""D"": 0.25}",B
safety,direct_borda,p034,"{""A"": 2.125, ""B"": 2.375, ""C"": 0.25, ""D"": 1.25}",B
safety,direct_signed_allocation,p034,"{""A"": 0.3375, ""B"": 0.32499999999999996, ""C"": -0.13749999999999998, ""D"": 0.02500000000000001}",A
code,direct_best_pick,p035,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A
code,direct_borda,p035,"{""A"": 3.0, ""B"": 1.625, ""C"": 0.125, ""D"": 1.25}",A
code,direct_signed_allocation,p035,"{""A"": 0.4375, ""B"": 0.1875, ""C"": -0.2125, ""D"": -0.0375}",A
business_advice,direct_best_pick,p036,"{""A"": 0.6666666666666666, ""B"": 0.0, ""C"": 0.0, ""D"": 0.3333333333333333}",A
business_advice,direct_borda,p036,"{""A"": 2.6666666666666665, ""B"": 1.6666666666666667, ""C"": 0.3333333333333333, ""D"": 1.3333333333333333}",A
business_advice,direct_signed_allocation,p036,"{""A"": 0.39999999999999997, ""B"": 0.23333333333333336, ""C"": -0.049999999999999996, ""D"": 0.04999999999999999}",A
instruction_following,direct_best_pick,p037,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A
instruction_following,direct_borda,p037,"{""A"": 2.6666666666666665, ""B"": 2.3333333333333335, ""C"": 0.8333333333333334, ""D"": 0.16666666666666666}",A
instruction_following,direct_signed_allocation,p037,"{""A"": 0.4166666666666667, ""B"": 0.25, ""C"": -0.16666666666666666, ""D"": -0.16666666666666666}",A
instruction_following,direct_best_pick,p038,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A
instruction_following,direct_borda,p038,"{""A"": 3.0, ""B"": 2.0, ""C"": 0.75, ""D"": 0.25}",A
instruction_following,direct_signed_allocation,p038,"{""A"": 0.45, ""B"": 0.25, ""C"": -0.1625, ""D"": -0.1375}",A
instruction_following,direct_best_pick,p039,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A
instruction_following,direct_borda,p039,"{""A"": 3.0, ""B"": 1.5, ""C"": 0.875, ""D"": 0.625}",A
instruction_following,direct_signed_allocation,p039,"{""A"": 0.42500000000000004, ""B"": 0.2, ""C"": -0.2, ""D"": -0.175}",A
analysis,direct_best_pick,p040,"{""A"": 0.75, ""B"": 0.0, ""C"": 0.25, ""D"": 0.0}",A
analysis,direct_borda,p040,"{""A"": 2.75, ""B"": 1.75, ""C"": 1.25, ""D"": 0.25}",A
analysis,direct_signed_allocation,p040,"{""A"": 0.4, ""B"": 0.25, ""C"": 0.0625, ""D"": -0.11249999999999999}",A
analysis,direct_best_pick,p041,"{""A"": 0.5, ""B"": 0.0, ""C"": 0.5, ""D"": 0.0}","TIE:A,C"
analysis,direct_borda,p041,"{""A"": 2.25, ""B"": 1.125, ""C"": 2.125, ""D"": 0.5}",A
analysis,direct_signed_allocation,p041,"{""A"": 0.15000000000000002, ""B"": -0.012499999999999997, ""C"": 0.2375, ""D"": -0.049999999999999996}",C
analysis,direct_best_pick,p042,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A
analysis,direct_borda,p042,"{""A"": 3.0, ""B"": 1.8333333333333333, ""C"": 0.16666666666666666, ""D"": 1.0}",A
analysis,direct_signed_allocation,p042,"{""A"": 0.45, ""B"": 0.26666666666666666, ""C"": -0.13333333333333333, ""D"": -0.049999999999999996}",A
ethics_policy,direct_best_pick,p043,"{""A"": 0.75, ""B"": 0.25, ""C"": 0.0, ""D"": 0.0}",A
ethics_policy,direct_borda,p043,"{""A"": 2.75, ""B"": 2.125, ""C"": 0.375, ""D"": 0.75}",A
ethics_policy,direct_signed_allocation,p043,"{""A"": 0.42500000000000004, ""B"": 0.2875, ""C"": -0.1625, ""D"": -0.125}",A
ethics_policy,direct_best_pick,p044,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A
ethics_policy,direct_borda,p044,"{""A"": 3.0, ""B"": 2.0, ""C"": 0.5, ""D"": 0.5}",A
ethics_policy,direct_signed_allocation,p044,"{""A"": 0.4375, ""B"": 0.275, ""C"": -0.15, ""D"": -0.13749999999999998}",A
ethics_policy,direct_best_pick,p045,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A
ethics_policy,direct_borda,p045,"{""A"": 3.0, ""B"": 1.875, ""C"": 1.0, ""D"": 0.125}",A
ethics_policy,direct_signed_allocation,p045,"{""A"": 0.4375, ""B"": 0.1625, ""C"": -0.2375, ""D"": -0.1625}",A
factual_qa,direct_best_pick,p046,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A
factual_qa,direct_borda,p046,"{""A"": 2.875, ""B"": 1.5, ""C"": 0.875, ""D"": 0.75}",A
factual_qa,direct_signed_allocation,p046,"{""A"": 0.45, ""B"": 0.13749999999999998, ""C"": -0.0625, ""D"": -0.02500000000000001}",A
factual_qa,direct_best_pick,p047,"{""A"": 0.25, ""B"": 0.0, ""C"": 0.0, ""D"": 0.75}",D
factual_qa,direct_borda,p047,"{""A"": 1.875, ""B"": 1.125, ""C"": 0.25, ""D"": 2.75}",D
factual_qa,direct_signed_allocation,p047,"{""A"": 0.22500000000000003, ""B"": 0.1375, ""C"": -0.05000000000000001, ""D"": 0.4125}",D
factual_qa,direct_best_pick,p048,"{""A"": 0.6666666666666666, ""B"": 0.3333333333333333, ""C"": 0.0, ""D"": 0.0}",A
factual_qa,direct_borda,p048,"{""A"": 2.5, ""B"": 1.6666666666666667, ""C"": 0.6666666666666666, ""D"": 1.1666666666666667}",A
factual_qa,direct_signed_allocation,p048,"{""A"": 0.4166666666666667, ""B"": 0.16666666666666666, ""C"": -0.18333333333333335, ""D"": 0.033333333333333326}",A
factual_qa,direct_best_pick,p049,"{""A"": 0.25, ""B"": 0.25, ""C"": 0.25, ""D"": 0.25}","TIE:A,B,C,D"
factual_qa,direct_borda,p049,"{""A"": 2.25, ""B"": 1.75, ""C"": 1.125, ""D"": 0.875}",A
factual_qa,direct_signed_allocation,p049,"{""A"": 0.375, ""B"": 0.19999999999999998, ""C"": 0.0375, ""D"": 0.0625}",A
factual_qa,direct_best_pick,p050,"{""A"": 0.3333333333333333, ""B"": 0.6666666666666666, ""C"": 0.0, ""D"": 0.0}",B
factual_qa,direct_borda,p050,"{""A"": 2.1666666666666665, ""B"": 2.6666666666666665, ""C"": 0.16666666666666666, ""D"": 1.0}",B
factual_qa,direct_signed_allocation,p050,"{""A"": 0.19999999999999998, ""B"": 0.3833333333333333, ""C"": -0.09999999999999999, ""D"": -0.049999999999999996}",B
factual_qa,direct_best_pick,p051,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A
factual_qa,direct_borda,p051,"{""A"": 3.0, ""B"": 2.0, ""C"": 0.625, ""D"": 0.375}",A
factual_qa,direct_signed_allocation,p051,"{""A"": 0.4375, ""B"": 0.25, ""C"": -0.175, ""D"": -0.1375}",A
reasoning,direct_best_pick,p052,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A
reasoning,direct_borda,p052,"{""A"": 2.875, ""B"": 0.125, ""C"": 2.125, ""D"": 0.875}",A
reasoning,direct_signed_allocation,p052,"{""A"": 0.44999999999999996, ""B"": -0.15000000000000002, ""C"": 0.15, ""D"": -0.125}",A
reasoning,direct_best_pick,p053,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A
reasoning,direct_borda,p053,"{""A"": 3.0, ""B"": 1.375, ""C"": 0.75, ""D"": 0.875}",A
reasoning,direct_signed_allocation,p053,"{""A"": 0.45, ""B"": 0.2, ""C"": -0.1, ""D"": -0.05}",A
reasoning,direct_best_pick,p054,"{""A"": 0.0, ""B"": 0.25, ""C"": 0.5, ""D"": 0.25}",C
reasoning,direct_borda,p054,"{""A"": 0.875, ""B"": 1.625, ""C"": 2.0, ""D"": 1.5}",C
reasoning,direct_signed_allocation,p054,"{""A"": -0.025, ""B"": 0.075, ""C"": 0.2375, ""D"": 0.1875}",C
reasoning,direct_best_pick,p055,"{""A"": 0.75, ""B"": 0.0, ""C"": 0.25, ""D"": 0.0}",A
reasoning,direct_borda,p055,"{""A"": 2.5, ""B"": 1.375, ""C"": 2.125, ""D"": 0.0}",A
reasoning,direct_signed_allocation,p055,"{""A"": 0.4125, ""B"": 0.0875, ""C"": 0.07500000000000001, ""D"": -0.075}",A
reasoning,direct_best_pick,p056,"{""A"": 0.5, ""B"": 0.0, ""C"": 0.0, ""D"": 0.5}","TIE:A,D"
reasoning,direct_borda,p056,"{""A"": 1.625, ""B"": 2.0, ""C"": 0.5, ""D"": 1.875}",B
reasoning,direct_signed_allocation,p056,"{""A"": 0.1125, ""B"": 0.26249999999999996, ""C"": -0.1875, ""D"": 0.1625}",B
reasoning,direct_best_pick,p057,"{""A"": 0.6666666666666666, ""B"": 0.3333333333333333, ""C"": 0.0, ""D"": 0.0}",A
reasoning,direct_borda,p057,"{""A"": 2.6666666666666665, ""B"": 2.1666666666666665, ""C"": 0.6666666666666666, ""D"": 0.5}",A
reasoning,direct_signed_allocation,p057,"{""A"": 0.39999999999999997, ""B"": 0.2833333333333333, ""C"": -0.20000000000000004, ""D"": -0.11666666666666665}",A
writing,direct_best_pick,p058,"{""A"": 0.6666666666666666, ""B"": 0.0, ""C"": 0.0, ""D"": 0.3333333333333333}",A
writing,direct_borda,p058,"{""A"": 2.1666666666666665, ""B"": 1.6666666666666667, ""C"": 1.0, ""D"": 1.1666666666666667}",A
writing,direct_signed_allocation,p058,"{""A"": 0.20000000000000004, ""B"": 0.09999999999999998, ""C"": -0.3, ""D"": -0.03333333333333333}",A
writing,direct_best_pick,p059,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A
writing,direct_borda,p059,"{""A"": 3.0, ""B"": 1.875, ""C"": 0.625, ""D"": 0.5}",A
writing,direct_signed_allocation,p059,"{""A"": 0.45, ""B"": 0.2625, ""C"": -0.17500000000000002, ""D"": -0.012499999999999997}",A
writing,direct_best_pick,p060,"{""A"": 0.6666666666666666, ""B"": 0.3333333333333333, ""C"": 0.0, ""D"": 0.0}",A
writing,direct_borda,p060,"{""A"": 2.6666666666666665, ""B"": 2.3333333333333335, ""C"": 0.3333333333333333, ""D"": 0.6666666666666666}",A
writing,direct_signed_allocation,p060,"{""A"": 0.43333333333333335, ""B"": 0.2333333333333333, ""C"": -0.18333333333333335, ""D"": -0.15}",A
writing,direct_best_pick,p061,"{""A"": 0.75, ""B"": 0.0, ""C"": 0.25, ""D"": 0.0}",A
writing,direct_borda,p061,"{""A"": 2.75, ""B"": 1.5, ""C"": 1.375, ""D"": 0.375}",A
writing,direct_signed_allocation,p061,"{""A"": 0.4, ""B"": 0.11249999999999999, ""C"": -0.05, ""D"": -0.0875}",A
writing,direct_best_pick,p062,"{""A"": 0.3333333333333333, ""B"": 0.3333333333333333, ""C"": 0.0, ""D"": 0.3333333333333333}","TIE:A,B,D"
writing,direct_borda,p062,"{""A"": 2.0, ""B"": 2.0, ""C"": 0.8333333333333334, ""D"": 1.1666666666666667}","TIE:A,B"
writing,direct_signed_allocation,p062,"{""A"": 0.25, ""B"": 0.11666666666666665, ""C"": -0.19999999999999998, ""D"": 0.033333333333333326}",A
writing,direct_best_pick,p063,"{""A"": 0.25, ""B"": 0.0, ""C"": 0.5, ""D"": 0.25}",C
writing,direct_borda,p063,"{""A"": 2.125, ""B"": 1.375, ""C"": 0.75, ""D"": 1.75}",A
writing,direct_signed_allocation,p063,"{""A"": 0.375, ""B"": 0.175, ""C"": -0.0875, ""D"": 0.08750000000000001}",A
safety,direct_best_pick,p064,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A
safety,direct_borda,p064,"{""A"": 3.0, ""B"": 2.0, ""C"": 0.8333333333333334, ""D"": 0.16666666666666666}",A
safety,direct_signed_allocation,p064,"{""A"": 0.43333333333333335, ""B"": 0.19999999999999998, ""C"": -0.2333333333333333, ""D"": -0.13333333333333333}",A
safety,direct_best_pick,p065,"{""A"": 0.6666666666666666, ""B"": 0.0, ""C"": 0.0, ""D"": 0.3333333333333333}",A
safety,direct_borda,p065,"{""A"": 2.0, ""B"": 1.8333333333333333, ""C"": 1.0, ""D"": 1.1666666666666667}",A
safety,direct_signed_allocation,p065,"{""A"": 0.23333333333333336, ""B"": 0.26666666666666666, ""C"": -0.16666666666666666, ""D"": 0.03333333333333335}",B
safety,direct_best_pick,p066,"{""A"": 0.25, ""B"": 0.25, ""C"": 0.5, ""D"": 0.0}",C
safety,direct_borda,p066,"{""A"": 1.625, ""B"": 1.375, ""C"": 2.5, ""D"": 0.5}",C
safety,direct_signed_allocation,p066,"{""A"": 0.2625, ""B"": 0.2, ""C"": 0.1375, ""D"": -0.09999999999999999}",A
safety,direct_best_pick,p067,"{""A"": 0.25, ""B"": 0.5, ""C"": 0.0, ""D"": 0.25}",B
safety,direct_borda,p067,"{""A"": 2.0, ""B"": 2.375, ""C"": 0.0, ""D"": 1.625}",B
safety,direct_signed_allocation,p067,"{""A"": 0.28750000000000003, ""B"": 0.33749999999999997, ""C"": -0.2, ""D"": -0.1}",B
safety,direct_best_pick,p068,"{""A"": 0.6666666666666666, ""B"": 0.0, ""C"": 0.3333333333333333, ""D"": 0.0}",A
safety,direct_borda,p068,"{""A"": 2.5, ""B"": 1.8333333333333333, ""C"": 1.6666666666666667, ""D"": 0.0}",A
safety,direct_signed_allocation,p068,"{""A"": 0.45, ""B"": 0.18333333333333335, ""C"": 0.05000000000000001, ""D"": 0.05000000000000002}",A
safety,direct_best_pick,p069,"{""A"": 0.6666666666666666, ""B"": 0.3333333333333333, ""C"": 0.0, ""D"": 0.0}",A
safety,direct_borda,p069,"{""A"": 2.5, ""B"": 2.3333333333333335, ""C"": 0.3333333333333333, ""D"": 0.8333333333333334}",A
safety,direct_signed_allocation,p069,"{""A"": 0.25, ""B"": 0.2833333333333334, ""C"": -0.21666666666666667, ""D"": -0.15}",B
code,direct_best_pick,p070,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A
code,direct_borda,p070,"{""A"": 3.0, ""B"": 1.875, ""C"": 0.625, ""D"": 0.5}",A
code,direct_signed_allocation,p070,"{""A"": 0.4375, ""B"": 0.3, ""C"": 0.0625, ""D"": -0.05}",A
code,direct_best_pick,p071,"{""A"": 0.75, ""B"": 0.0, ""C"": 0.25, ""D"": 0.0}",A
code,direct_borda,p071,"{""A"": 2.75, ""B"": 1.25, ""C"": 1.375, ""D"": 0.625}",A
code,direct_signed_allocation,p071,"{""A"": 0.4125, ""B"": 0.17500000000000002, ""C"": -0.0625, ""D"": -0.05}",A
code,direct_best_pick,p072,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A
code,direct_borda,p072,"{""A"": 3.0, ""B"": 2.0, ""C"": 0.5, ""D"": 0.5}",A
code,direct_signed_allocation,p072,"{""A"": 0.4375, ""B"": 0.23750000000000002, ""C"": -0.1875, ""D"": -0.1375}",A
code,direct_best_pick,p073,"{""A"": 1.0, ""B"": 0.0, ""C"": 0.0, ""D"": 0.0}",A
